STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/8/2013,13.65,",,X",,,1.15,",,X,2400",6.3,",,X,",0,",,X,",,,34,",,X",27,",,X",,,70,",,X",80,",,X",25.1,",,X",36.9,",,X",1,",,X",1,",,X",,,,,,,,,,,,,1,",,X",1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/9/2013,8.5,",,X",,,0.38,",,X,2400",5.1,",,X,",11,",,Z,",,,32,",,X",21,",,X",,,320,",,X",310,",,X",17.9,",,X",31.1,",,X",,,1,",,X",,,,,,,1,",,X",,,,,,,1,",,X",,,1,",,X"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/10/2013,3.13,",,X",,,0,",,X,2400",0,",,X,",10,",,X,",,,36,",,X",18,",,X",,,310,",,X",330,",,X",13,",,X",19.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/11/2013,3.58,",,X",,,0.49,",,X,2400",0,",,X,",9,",,X,",,,45,",,X",34,",,X",,,310,",,X",170,",,X",10.1,",,X",17.9,",,X",1,",,X",,,,,,,,,,,1,",,X",,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/12/2013,8.5,",,X",,,0,",,X,2400",0,",,X,",4,",,X,",,,44,",,X",36,",,X",,,290,",,X",300,",,X",17,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/13/2013,3.36,",,X",,,0.03,",,X,2400",0,"T,,X,",0,",,X,",,,44,",,X",33,",,X",,,40,",,X",40,",,X",12.1,",,X",17.9,",,X",1,",,W",,,,,,,,,,,1,",,X",,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/14/2013,4.03,",,X",,,0,"T,,X,2400",0,"T,,X,",0,",,X,",,,46,",,X",33,",,X",,,30,",,X",250,",,X",13,",,X",17.9,",,X",1,",,W",,,,,,,,,,,,,,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/15/2013,6.04,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,55,",,X",37,",,X",,,310,",,X",300,",,X",16.1,",,X",23.9,",,X",,,,,,,,,,,1,",,X",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/16/2013,7.16,",,X",,,0.02,",,X,2400",0,"T,,X,",0,",,X,",,,41,",,X",31,",,X",,,10,",,X",20,",,X",15,",,X",25.1,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",1,",,X",1,",,X",,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/17/2013,12.3,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,32,",,X",18,",,X",,,310,",,X",320,",,X",25.1,",,X",40,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/18/2013,8.28,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,35,",,X",17,",,X",,,290,",,X",290,",,X",17,",,X",31.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/19/2013,6.71,",,X",,,0.15,",,X,2400",0,",,X,",0,",,X,",,,49,",,X",33,",,X",,,290,",,X",290,",,X",17.9,",,X",28,",,X",1,",,W",,,,,,,,,,,1,",,X",,,1,",,X",,,,,,
